Green Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C12N,C07D,A61K,B01J,B01D,G01N,A61Q,C07K,H01M,A01H,C07B,C08J,C09K,A01N,C07F,C12Q,H01G,A61F,C08F,A23K,A61L,B09B,C02F,C07H,C09B,C12P,C14C,C22B,H01B,H01L,A61B,A61C,A61M,A61P,A63F,B01F,B01L,B03C,B32B,C01G,C08G,C08K,C08L,C09D,C23G,C25C,D04H,D06P,E21B,
Número,21,21,18,13,9,8,8,6,6,6,5,5,5,5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07D,C07C,C08G,B01J,C08L,C09D,C12N,C07B,A61K,C08F,H01M,A01H,C07F,C12P,C12Q,G01N,H01G,A01N,A23K,A61P,B01D,B32B,C01G,C09K,B01F,B05D,B27K,C02F,C09B,C10M,C14C,C23G,C25B,C25F,C30B,D04H,G02F,H01B,,,,,,,,,,,,,
Número,16,15,12,7,7,7,7,6,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,B01J,C12N,A61K,C07B,C08G,B01D,C08L,C09K,A61P,C01G,C02F,C07K,C09B,C12Q,A01H,B01F,C08F,C11D,D06M,D21H,E21B,A01N,A61L,A62D,C07F,C07H,C09D,C10G,C10M,C12P,C23F,C30B,G01N,H01B,H01G,,,,,,,,,,,,,,
Número,24,14,10,10,9,8,7,6,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C12N,C07C,C07D,C07K,C02F,C01G,C10G,B01J,C09K,B01D,C07B,C08F,C08G,A01H,C07H,C08K,C09B,C12P,C12Q,C23F,C25C,E21B,H01B,H01G,H01M,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,12,9,9,9,6,5,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07D,B01J,C07B,B01D,C01G,C02F,C07C,C07J,C07K,C08F,C12N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,8,3,3,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,B01J,C07D,C07B,C07C,C02F,C08F,C12N,C23F,G06F,G06Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,4,4,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G06F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperspectral imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,G01J,A61B,G02B,H04N,G06T,G06K,G06N,G01B,G02F,H01L,G06F,G16H,C12N,A61K,G01S,G06Q,A01C,A01G,A01B,C12Q,C07K,A01H,A61M,B64C,G05D,A01D,A47L,B07C,A61N,A61P,B64D,G08G,G16B,H04L,A01F,B02C,B25J,C09K,F21V,G01C,G01V,G05B,G08B,H01S,H05B,A24B,A24D,A61L,A62C,
Número,100,94,73,59,46,41,33,19,18,18,18,17,15,13,12,12,10,9,9,8,8,7,6,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,A61B,H04N,G06K,G06T,G02B,A61K,A61M,G06F,G01B,H01L,C12N,G06Q,B64C,C07K,A61P,G01M,G05B,G06N,G16H,A61N,G01S,A01D,A01G,B64D,C12Q,H05B,G01C,G01R,G01V,G05D,G08B,G08G,A01B,A01K,A23L,B07C,E21B,G02F,G03F,G07D,G09B,H01S,H04L,A01C,A23P,A24B,B08B,B25J,
Número,115,100,84,58,53,52,50,33,26,21,20,18,16,16,15,12,8,8,8,8,8,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,A61B,G02B,H04N,G06T,G06K,G06F,H01L,C12N,G01B,G02F,C12Q,G06Q,B64C,G01C,A01H,A61K,B64D,G01M,G03B,A61M,B81B,G01S,G06N,A01B,A01K,A23P,A45D,A61N,A61Q,B29C,C07H,E21B,G01D,G03F,G08C,G09B,A01G,A61F,B01L,B33Y,B42D,B63B,B82Y,C02F,C07K,C08F,C10M,C12M,
Número,99,95,71,53,51,42,33,25,22,14,14,14,12,11,10,10,9,8,8,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,A61B,H04N,G06T,G02B,G06K,G06F,B64C,G06Q,G01B,G01C,G01S,C12Q,G08G,H01L,A61K,C12N,G02F,F21V,G03B,G05D,G06N,A01G,B64D,A01H,A61F,A61M,A61P,C10C,G01V,G09B,G16H,A01B,A01C,A01D,A01F,A01M,A61N,B01L,C07H,C10G,C12H,C12M,E21B,G01F,G01G,G01M,G01R,G01W,
Número,87,76,70,51,46,38,33,21,11,11,10,10,9,8,8,8,7,7,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,A61B,H04N,G06K,G06T,G02B,G06F,H01L,C12N,A01M,C12Q,G01S,A01G,A01H,A24B,B07C,G01B,G05B,G06Q,H01S,A01D,A23P,A61K,A61M,B64D,B82Y,C12M,F21V,G01C,G02F,G09B,A47J,B01F,B25J,C07H,C12P,G01M,G01R,G03B,G06N,G08B,A01B,A01C,A23L,A24D,B03C,B41J,B65B,B65D,
Número,87,65,46,43,41,40,18,18,12,11,10,9,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,H04N,G06K,G06T,A61B,G02B,H01L,G06F,C12Q,G01V,G01S,G01B,G06Q,G02F,G03B,A61K,B07C,C12N,E21B,G01C,G09B,A01H,A23P,A24C,C12H,F21V,G01R,G05B,H01S,H03M,A61F,A61M,A61P,B01L,B42D,B64D,B82Y,C12M,G08B,H01J,A01G,A01K,A23B,A24B,B01F,B07B,B64C,B65B,B65D,
Número,86,77,69,47,41,32,27,21,20,14,14,10,8,8,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
