Green Chemistry;"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catalysis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;C07C;C07D;C12N;A61K;C01B;G01N;C02F;B01D;C25B;C12P;C08G;C07F;B82Y;H01M;A61P;C07K;C12Q;C08F;C01G;C08J;C08L;C12R;B22F;C09K;C09D;C10G;C07B;C23C;H01L;C07H;C08K;A61L;A01N;H01G;C22C;C10L;A61B;D01F;G06F;C08B;C01F;B01F;C04B;C10B;C12M;C25D;C30B;A23L;B33Y; 
Nomero;727;344;304;236;208;207;181;177;157;149;146;141;127;108;102;101;84;82;73;54;47;46;45;44;36;35;34;33;33;30;28;27;26;24;24;22;20;18;17;17;16;15;14;13;13;12;12;12;11;11;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;C07C;C07D;A61K;C12N;C01B;C02F;G01N;B01D;C07F;C12P;B82Y;C08G;H01M;C25B;A61P;C07K;C08F;C12Q;C01G;C08L;C07B;C09K;C08J;C10G;C07H;C12R;B22F;C23C;A61L;C08K;H01G;H01L;C01F;C25D;A01N;C10B;C04B;C10L;G06F;C09D;D01F;C11C;C12M;C30B;B82B;F01N;B05D;C22B;A62D; 
Nomero;905;442;410;277;265;240;216;198;196;185;185;179;137;135;119;112;109;89;89;84;76;55;50;49;48;45;43;38;38;37;36;32;31;22;21;18;18;17;17;17;16;16;15;15;15;14;13;11;11;10;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;C07C;C07D;A61K;C12N;C02F;C12P;C01B;G01N;B01D;C07F;B82Y;C08G;C07K;H01M;C12Q;C25B;C08F;A61P;C01G;C12R;C07H;C08J;C10G;C07B;C08L;C09K;H01L;B22F;C23C;H01G;A01N;A61L;C08K;C09D;C10L;C25D;C04B;A62D;C12M;C01F;C11C;D01F;A01P;C07J;A23L;A61B;B01F;B01L;B29C; 
Nomero;843;386;317;283;278;231;201;194;191;162;148;133;123;114;106;87;85;82;77;68;49;47;45;45;44;42;41;38;33;32;32;28;27;26;22;21;20;18;15;15;14;14;14;13;13;12;12;11;11;11;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;A61K;C07C;C12N;C07D;G01N;C12P;C07F;C07K;C12Q;B01D;C01B;C08G;C02F;B82Y;A61P;C08F;H01M;C07H;C25B;C01G;C07B;C08L;C10G;A61L;H01L;A01N;C09K;C12R;B22F;C08J;H01G;C10L;A61B;B05D;C08K;B29C;C09D;C11C;C23C;C40B;A23L;A62D;C12M;C01F;C04B;F01N;A61Q;B01F;C08B; 
Nomero;503;313;276;263;242;168;141;135;123;112;111;110;87;82;80;68;62;62;51;45;44;43;40;40;34;33;32;28;28;25;24;22;19;16;16;16;15;15;15;14;14;10;10;10;9;9;9;8;8;8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;A61K;C07C;C12N;C07D;G01N;C07F;C12P;C01B;C07K;C02F;C08F;C12Q;B82Y;B01D;C08G;A61P;C07H;H01M;C08L;C25B;C10G;A61L;C01G;A01N;C07B;B22F;C08J;C08K;C10L;C12R;C23C;H01L;C09K;C11C;H01G;B05D;C04B;C08B;C09D;A61B;G06F;A23L;C40B;D01D;A61N;A62D;C08H;B01F;B82B; 
Nomero;379;286;228;226;204;141;133;131;120;109;78;78;76;73;72;66;61;57;55;40;33;32;30;30;28;24;23;23;22;22;22;22;22;21;15;13;12;12;12;12;11;11;10;10;10;9;9;9;8;8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;A61K;C07C;C12N;C07D;G01N;C01B;C07F;C12P;C07K;C12Q;A61P;B82Y;B01D;C08F;C02F;C08G;C07H;C07B;H01M;C01G;C10G;A01N;C08L;A61L;H01L;C10L;C12R;B22F;C09K;C25B;C11C;C09B;C23C;B05D;B82B;C08J;C40B;G06F;H01G;A61B;C04B;C08K;A61F;B32B;C09D;C12M;D01D;D01F;A62D; 
Nomero;356;271;233;186;183;142;115;112;107;102;95;83;78;66;58;48;46;42;38;38;37;34;28;26;25;24;21;21;20;20;19;17;16;16;13;13;12;12;11;10;9;9;9;8;8;8;8;8;8;7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;A61K;C07C;C07D;C12N;G01N;C07F;C12P;B82Y;C01B;C12Q;A61P;C07K;B01D;C08F;C02F;H01M;C07H;C08G;H01L;C07B;C10G;C01G;A01N;C08L;C09K;A61L;C08J;C12M;C10L;B05D;C08K;C25B;C09D;C40B;B82B;C01F;G06F;C11C;C23C;B22F;C04B;H01G;B01L;B32B;A61B;C25D;C08B;C12R;H01B; 
Nomero;256;225;166;160;157;139;101;93;89;84;79;77;73;68;51;43;42;40;39;33;28;27;26;25;25;20;19;16;16;15;14;14;14;13;13;12;12;12;11;11;10;10;10;9;9;8;8;7;7;7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;A61K;C12N;C07C;C07D;G01N;C12P;C12Q;C07K;C07F;C01B;B82Y;A61P;B01D;C08G;C07H;H01M;C01G;C08F;C02F;C07B;H01L;A01N;C08L;C10L;C09K;C12R;C23C;C10G;C11C;C08J;A61L;B22F;C04B;B32B;B05D;B82B;C08B;C08K;C12M;C25B;H01G;C40B;F01N;G06F;A01H;B01L;C09B;C09D;C22C; 
Nomero;255;239;174;165;140;119;109;96;91;89;84;83;75;68;55;53;47;41;41;38;36;31;24;23;20;19;19;18;17;17;16;14;14;14;13;10;10;10;9;9;9;8;7;7;7;6;6;6;6;6;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;A61K;C07C;C12N;C07D;C12P;A61P;G01N;C07K;C07F;C12Q;C01B;B01D;C07H;C08F;H01M;C08G;B82Y;A01N;C07B;C08L;C09K;C01G;C12R;C02F;C10G;C10L;H01L;C08J;C23C;A61L;C25B;B05D;C25D;C04B;C08K;B32B;C40B;A01H;C08C;A61B;C08B;A62D;B01F;B82B;C12M;B01L;C03C;C09C;C11C; 
Nomero;351;294;218;207;152;138;133;122;97;96;93;86;74;74;66;66;51;42;40;36;35;34;31;30;28;28;25;25;22;22;18;18;17;16;15;14;13;13;12;12;11;11;10;10;10;10;9;9;9;9;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;A61K;C07C;C12N;C07D;A61P;C12Q;G01N;C12P;C01B;C07K;B01D;C07F;C07H;C08F;C08G;H01M;A01N;C01G;C02F;B82B;C07B;B05D;B32B;C40B;C08L;C23C;A61L;C09K;H01L;C10G;C12M;C04B;C12R;B22F;C08J;C10L;A01H;C01F;C08K;B82Y;D01F;C25B;A62D;H01B;B01L;C09D;C11C;C25D;C30B; 
Nomero;317;281;197;190;157;135;135;134;103;94;91;87;80;80;59;59;56;46;45;42;38;33;31;30;26;25;24;22;22;22;21;21;20;20;18;17;17;16;15;15;13;12;11;10;10;9;9;9;9;9;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;B01J;C07C;C12N;C07D;G01N;A61P;C12P;C12Q;C07K;C07H;C07F;C01B;C08F;C08G;B01D;A01N;H01M;C07B;C10G;C02F;C40B;C09K;B82B;C01G;B32B;C08L;H01L;A61L;C12R;C08J;C23C;C01F;C08K;B82Y;C04B;B22F;C10L;A61F;B05D;C11C;C30B;C08B;A62D;B01F;C09D;C25D;G06F;H01B;C25B; 
Nomero;271;260;190;183;150;141;135;110;105;98;83;76;69;58;54;48;46;45;37;35;32;29;26;25;25;23;22;21;20;20;19;19;14;14;13;13;12;12;11;11;11;11;10;9;9;9;9;9;9;8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;B01J;C12N;G01N;C07C;C07D;C07K;C12P;C12Q;A61P;C01B;C07H;C08F;C07F;B01D;C10G;A01N;H01M;C08G;C40B;B82B;C01G;C02F;C10L;C08L;B32B;C08J;B05D;C07B;H01L;C11C;C12R;C23C;C09K;A01H;C12M;C25B;A61L;C01F;C09D;A61B;C08K;D01F;G03F;B01F;B22F;C08B;C11B;C25D;G06F; 
Nomero;234;191;181;133;127;115;114;109;102;91;81;77;54;51;48;39;33;33;31;28;26;26;26;23;21;20;20;19;19;19;18;18;17;16;15;15;15;13;13;10;9;9;8;8;7;7;6;6;6;6;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;B01J;C12N;G01N;C07C;C12Q;C07D;C12P;C07K;C07H;B01D;A61P;C01B;C08F;C07F;A01N;C08G;H01M;C07B;C08L;C01G;C02F;C10G;C12M;A61L;C04B;C08J;C09K;C40B;C08K;G06F;H01L;B05D;C23C;B32B;B82B;A61B;B01F;A01H;C01F;C11C;D01F;B22F;C09D;A61F;B01L;C25D;C30B;H01F;A23L; 
Nomero;192;185;148;120;103;99;93;73;68;56;55;54;52;45;39;27;27;24;20;19;16;16;16;16;15;15;15;13;13;12;12;12;11;11;10;10;9;9;8;8;8;8;7;7;6;6;6;6;5;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;C12N;B01J;G01N;C12Q;C07K;C07C;C07H;C07D;C12P;C01B;C07F;A61P;B01D;A01N;C08F;C08G;C07B;H01M;A01H;C01G;B32B;C40B;C08J;H01L;C01F;C09K;C10G;D01F;B05D;B22F;C11C;C12M;G06F;A61B;C23C;A61L;C02F;C08L;C09C;B01F;C04B;C08K;C10L;C30B;G01J;A01K;F17C;A61M;B01L; 
Nomero;229;149;145;144;142;113;100;90;79;70;61;52;50;40;35;34;27;22;20;18;18;16;13;12;12;11;11;11;11;10;10;10;10;10;9;9;8;8;8;7;6;6;6;6;6;6;5;5;4;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;C12N;C12Q;G01N;B01J;C07C;C07K;C07H;C07D;C12P;C07F;C08F;C01B;A61P;B01D;A01N;A01H;C07B;H01M;B32B;C08G;C08J;H01L;C02F;C40B;G06F;B05D;C01G;C10G;C08L;C30B;D01F;B22F;B82B;C01F;C04B;C12M;A01K;A61L;B29C;C09K;C23C;B01F;B01L;C11C;C11D;C25B;G03F;A61M;C08K; 
Nomero;234;199;157;142;134;110;109;97;79;70;66;61;58;34;30;28;25;25;23;19;19;19;18;17;15;15;13;13;13;11;11;11;10;10;10;10;10;9;8;8;7;7;6;6;6;6;6;6;5;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;C12N;B01J;C12Q;C07K;G01N;C07C;C07H;C12P;C07D;C01B;C08F;C07F;A61P;C07B;B01D;C08G;H01M;A01N;C10G;H01L;C23C;C40B;B32B;C12M;A61L;C01G;C04B;G06F;C30B;C08L;A01K;A01H;B05D;C01F;C09K;D01F;H01F;A61F;B01L;C08B;G02B;A62D;B22F;C02F;C08J;C08K;C25D;A23L;B29C; 
Nomero;215;209;157;142;140;133;102;90;86;79;71;66;61;39;37;33;32;32;31;26;22;19;18;17;16;15;15;15;15;13;12;11;10;9;9;9;9;9;7;7;7;7;6;6;6;6;6;6;4;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;C12N;B01J;C12Q;G01N;C07K;C07C;C07D;C07H;C12P;C08F;C07F;C01B;A61P;C08G;C07B;B01D;H01M;C04B;C10G;G06F;A01N;C40B;H01L;C08J;A01K;B32B;C01G;A01H;A61L;C02F;B05D;C09K;C30B;B01L;C01F;C08L;C23C;D01F;A61M;B22F;H01B;H01G;A61F;A23L;B29C;B81B;C09D;C10L;C12M; 
Nomero;241;236;172;172;165;146;109;104;104;95;69;66;62;48;48;43;40;38;23;22;22;21;20;18;17;13;13;13;12;12;11;10;10;10;9;8;8;8;8;7;7;7;7;6;5;5;5;5;5;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; C12N;A61K;G01N;C07K;B01J;C08F;C12Q;C07D;C07C;C07H;C07F;C12P;C07B;A61P;C01B;B01D;C08L;C08G;H01L;C10G;C40B;A01K;C23C;A61L;C30B;C01G;C08J;A01N;G06F;C04B;D01F;H01M;C02F;C12M;C08B;C09K;A01H;B05D;B29C;B81C;C09D;G03F;H01F;B32B;B81B;B82B;C07J;C12R;C25D;D21B; 
Nomero;230;214;151;148;141;129;126;119;106;88;80;75;68;57;48;25;24;21;20;17;17;14;14;13;13;11;11;10;10;9;9;9;8;7;6;6;5;5;5;5;5;5;5;4;4;4;4;4;4;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; C12N;A61K;B01J;C07K;C12Q;G01N;C07C;C07D;C08F;C12P;A61P;C07F;C07H;C07B;C01B;B01D;C08G;A01H;A61L;C08L;A01K;C02F;C12R;C01G;C23C;C40B;H01L;A01N;B32B;C04B;C08J;C09K;D01F;A62D;B05D;C10G;H01M;C07J;C08B;G03F;A61F;C08K;C25C;A23C;A61M;B09C;B22F;C09B;C22B;C30B; 
Nomero;197;157;108;98;95;94;87;86;73;72;66;51;47;40;33;21;13;12;12;12;11;11;10;9;9;9;9;8;7;7;7;7;7;6;6;6;6;5;5;5;4;4;4;3;3;3;3;3;3;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
Codigo ICP; C12N;A61K;C07K;C12Q;B01J;C07D;G01N;C08F;C07C;C07H;C12P;C07F;A61P;C01B;C07B;A01H;C23C;B01D;A01N;C08G;C12R;C01G;H01L;H01M;B05D;A01K;C04B;C08J;C08L;C10G;C40B;A61L;C09K;B01F;B09C;G03F;G06F;A61B;C01F;C02F;C09D;C09J;C10M;C11D;A61Q;B22F;B41C;B41M;C09B;C12M;
Nomero;173;127;91;85;79;76;72;57;53;52;47;44;41;29;24;14;14;13;12;11;10;9;9;9;8;7;7;7;7;7;7;6;6;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; C12N;A61K;C07K;B01J;C07H;G01N;C12Q;C07C;C07D;C12P;C07F;A61P;B01D;C07B;A01N;C08F;A01H;C01B;C08G;B05D;C04B;C40B;A01K;A61L;C23C;C12M;C12R;H01L;C08L;D21C;H01M;B22F;B32B;C01G;C08J;C09K;B09B;C01F;C03C;F01N;F28C;G03F;H01B;A23D;A61B;A61Q;C02F;C08B;C08K;C09C; 
Nomero;177;140;107;75;63;62;61;54;46;38;32;31;28;24;21;19;18;17;16;11;9;9;8;8;8;7;7;6;5;5;5;4;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microplastics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;B29B;B01D;B03D;C08J;B07B;B09C;C02F;C08L;C11D;C22B;E02B;F42B;G05B; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;12;5;3;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;F42B;B29B;C08J;C08L;A61K;A61Q;B63B;B63H;C08K;C09K;E02B; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;7;4;2;2;2;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A23P;A61K;A61Q;B29B;B29C;F42B;G01N; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; F42B;A61K;A61Q;C08K; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
