Green Chemistry,"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, G01N,G01J,G06K,G06T,A61B,G02B,A61K,G01B,G02F,G06N,B64C,B64D,C12Q,H01Q,H04B,H04N,A01C,A23B,A61F,A61L,A61P,B01L,B22F,B82Y,C12M,G01C,G01D,G01F,G01M,G01S,G03B,G03H,G05D,G16H,H01L,H01S,H03M, ,,,,,,,,,,,,,
Número,35,23,12,9,8,6,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,G01J,G02B,G06K,A61B,G06T,H04N,G01Q,G02F,G06N,A01G,A61K,G03B,G05D,A01C,A61M,B07C,B08B,C03C,C09K,C12M,C12N,C12P,C12Q,C23C,C40B,F41H,G01B,G01D,G03F,G06F,G16H,H01B,H01J,H01L,H01Q,H03M,H04B,,,,,,,,,,,,,
Número,30,16,13,13,12,12,7,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,A61B,G01J,G06T,A61K,H04N,G01B,B05D,B28B,B82Y,C07K,G02B,G02F,G03H,G06F,G06K,A01C,A01M,A23B,A61P,B01J,B05C,B07C,B41J,B64C,B64D,B81C,C01B,C08K,C25C,G01K,G01S,G05D,G06N,H01Q,H04L,,,,,,,,,,,,,,,
Número,26,15,13,10,7,5,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
