Green Chemistry,"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,H01M,A01H,B01D,C12Q,C25B, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12Q,H01M,C12M,C25B, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,B01J,C12P,C02F,C01B,G01N,A61K,C12R,H01M,C07C,B01D,C10B,C08L,A01N,C10G,C07K,C07D,C10L,A61P,C09K,C08G,C08J,A01G,C10J,C12M,H01G,B82Y,A01P,C05F,C05G,C08B,C08K,A01H,C08F,C12Q,A61L,B09C,A23L,C04B,C08H,C25B,F23J,C09J,D01F,B29C,A23K,C07H,F26B,C01G,C09D, 
Número,313,273,179,176,155,103,102,96,92,84,77,75,74,73,71,68,63,52,49,48,47,47,45,42,42,41,36,30,29,28,28,27,26,26,26,25,24,23,23,20,20,19,18,18,17,16,15,15,13,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,B01J,C12P,C02F,C01B,A61K,C12R,C07C,G01N,C07K,C10B,H01M,C07D,B01D,C10L,A01G,C10G,C08L,C12M,C05G,A01N,A01H,C10J,A61P,C09K,H01G,C08B,C08K,B09C,C08G,A23L,C08J,C04B,C05F,C12Q,C08H,A61L,B82Y,F23B,F23L,C10K,A23K,A01B,B09B,C07H,C08F,C25B,D21C,F23C,C13K, 
Número,392,275,234,205,184,126,119,112,95,86,86,82,80,79,78,68,64,62,62,57,56,54,50,47,47,47,42,42,39,39,37,37,33,31,29,28,27,27,26,24,21,20,19,19,19,19,19,19,19,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,B01J,C12P,C02F,C01B,C07C,C12R,C07K,A61K,G01N,C07D,C10L,C10G,A01N,B01D,C08L,H01M,C10J,C10B,A01H,A01G,C08G,C12Q,C12M,C05G,H01G,C08K,C07H,C08B,C09K,C08H,C08J,A23L,C05F,A01P,B82Y,D21C,F23B,B09B,A61L,C08F,A61P,B09C,C04B,G06F,C10K,F23J,A01K,D21H,C25B, 
Número,377,268,238,176,131,99,93,90,87,83,79,77,76,70,69,67,67,62,59,57,56,56,53,52,43,40,37,30,30,30,28,28,24,24,23,22,21,21,20,19,19,18,18,18,18,17,16,15,15,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,B01J,A61K,C02F,C07C,C07K,A01N,C07D,C10L,B01D,C10G,C12R,C01B,G01N,A01H,C08L,C12Q,C10B,C10J,H01M,C12M,A01G,A61P,A01P,C08G,D21C,C07H,C05F,C08J,B09B,C08B,C08H,C08K,C09K,C13K,B09C,A61L,C05G,A23L,B82Y,C07G,D21H,C04B,C09J,C10K,C25B,A01C,A23K,F24H, 
Número,392,246,199,126,117,110,88,86,73,72,64,64,62,61,57,53,48,43,42,40,38,36,26,26,25,24,24,23,22,21,20,20,20,20,20,20,19,18,18,16,16,14,14,13,13,13,13,12,12,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,B01J,A61K,C07C,C02F,C07K,C01B,A01H,G01N,A01N,C10L,B01D,C12Q,C12R,C07D,C08L,C10G,C12M,C10B,C08B,B09C,A61P,C07H,E04C,C10J,A01G,C08J,A01P,C08G,H01M,A23L,C13K,C08F,C07F,C11B,C04B,C08H,D21C,A23K,A61L,B82Y,C05F,C08K,C05G,C09J,G06F,B09B,C09K,F24B, 
Número,327,202,161,99,89,83,73,59,58,57,56,56,51,50,48,43,43,43,39,37,27,26,25,24,24,23,21,21,20,20,20,18,18,16,15,15,14,14,14,13,12,12,12,12,11,11,10,9,9,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,B01J,C02F,C07C,A61K,C07K,A01H,C10G,C01B,C10L,A01N,C07D,B01D,C12R,G01N,C12Q,C12M,C08L,C10B,C07H,A61P,A61L,C08B,C10J,A01G,C08H,H01M,B09B,C11B,C13K,D21C,A23L,B09C,C08G,C09K,C08F,C08J,C11C,B82Y,C05F,A01P,C05G,A23K,C04B,C08K,C10K,C01G,C07G,C09D, 
Número,379,260,145,97,85,84,83,75,74,62,62,55,55,53,53,49,47,44,31,30,27,24,21,21,21,19,18,18,17,17,17,17,16,16,16,15,14,14,13,12,12,11,11,10,10,10,9,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A01H,B01J,C07K,A61K,C07C,B01D,C10G,C10L,C02F,G01N,C12R,C12M,C12Q,A01N,C07H,C01B,C07D,C08L,A61P,C08B,C10B,H01M,B09B,C10J,A01G,G06F,A01P,B82Y,C08H,D21C,C09K,C13K,A61L,C08J,C08K,C11B,C11C,C08G,A23K,A23L,C05F,C05G,C07G,C09D,H01L,A01K,B09C,C04B, 
Número,382,239,80,78,76,67,62,60,58,57,55,55,53,52,47,44,40,38,32,29,25,24,24,24,23,22,19,18,16,16,16,14,13,13,12,12,12,12,11,10,9,9,8,7,7,7,7,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,B01J,C07C,C02F,A01H,A61K,C10L,C12R,C10G,C07K,C12M,C01B,B01D,A01N,C10J,C07H,C12Q,C08L,C10B,A61P,G01N,B09B,C07D,C08G,A01G,D21C,B82Y,H01M,A23L,A01P,A61L,C10K,C05G,C08B,C08H,C08J,C13K,G06F,C05F,C08F,C22B,C11B,B09C,C04B,A01K,C09K,D01F,C07B,C09B, 
Número,298,208,101,77,72,66,61,61,60,52,51,51,50,45,31,31,29,27,26,26,25,25,23,23,22,20,18,17,17,16,15,14,13,12,12,11,11,11,11,10,10,10,9,8,8,7,7,7,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A61K,A01H,C02F,B01J,C10L,C07C,C07K,C12R,C10G,B01D,C12M,C01B,A01N,C07H,C10B,C10J,A61P,C12Q,H01M,C08L,C07D,G01N,A01G,C08G,B09B,C08B,A01P,C05F,C08J,C08K,A01K,C08F,C08H,A23K,A23L,A61L,D21C,B09C,C13K,C09K,C11B,B82Y,F23C,B29C,B32B,C05G,C10K,C11C, 
Número,396,285,94,93,89,88,85,81,73,69,68,67,57,50,43,42,40,40,39,33,31,30,28,28,27,23,21,21,19,19,15,13,12,12,12,11,11,11,11,10,10,9,9,8,8,7,7,7,7,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A01H,C02F,A61K,C10L,C07K,B01J,C07C,C12R,C12M,C10G,C07H,C12Q,C01B,G01N,A01N,C10B,A61P,B01D,C08L,C10J,C07D,A01G,B09B,H01M,C08G,A01P,A01K,B09C,C05F,C08K,C08B,G06F,C13K,A23K,A23L,C11B,D01F,B29C,C09K,C11C,D21C,C09J,C40B,D21H,F26B,H01L,A62D,C08F, 
Número,338,239,87,79,71,68,65,62,56,50,48,45,43,42,40,38,35,33,32,32,32,30,27,23,21,19,15,14,13,13,13,13,12,12,11,10,9,9,9,8,7,7,7,6,6,6,6,6,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A61K,A01H,C02F,C07K,C07C,C01B,B01J,C07H,C12R,A01N,C10L,G01N,C12Q,C10G,C12M,B01D,C10B,C13K,A61P,C10J,A01P,B09B,C07D,A23L,C08B,H01M,B09C,A01G,A23K,C05F,C08L,C11C,D21C,A62D,A61L,C08F,C07F,C08G,C08J,C09K,C11B,G06F,C04B,C07B,A01C,A01K,B01F,B22F, 
Número,268,217,76,75,63,63,57,51,50,43,42,41,41,38,35,32,29,28,27,24,22,20,18,18,18,17,17,17,16,13,11,11,10,10,9,8,7,7,6,6,6,6,6,6,5,5,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A01H,C10L,A61K,B01J,C07C,C02F,C07K,A01N,B01D,C01B,C10G,C12M,C12Q,G01N,C07H,A01P,B09B,C10B,A61P,C12R,C07D,C10J,C11C,D21C,H01M,A23K,A23L,C08B,C10C,C13K,C05F,C05G,C11B,G06F,A01C,A01G,F23G,A01F,A01K,A61L,A62D,C04B,C08F,C08L,F23C,A01D,B02C,B32B, 
Número,235,159,71,61,58,50,50,48,42,41,41,41,31,29,27,26,25,22,20,19,17,15,13,12,12,11,10,8,8,8,8,8,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A61K,A01H,C02F,C07K,B01J,C07C,C12Q,C07H,A61P,C07D,A01N,B01D,C10L,G01N,C01B,C10G,C12M,C10B,B09B,A23L,C10J,H01M,A23K,C12R,C13K,A61L,B09C,C07F,C08B,A01G,A01K,A62D,C04B,C05F,C09K,D21C,F23G,A61M,A61Q,C08G,C08L,C22B,C40B,G06F,A23D,A23G,B01F,B02C, 
Número,149,84,50,48,38,33,25,21,21,20,19,19,18,18,18,18,16,15,15,14,11,10,10,10,9,7,7,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A01H,C02F,A61K,C07H,C12Q,C07K,B01J,B01D,C07C,H01M,C12M,G01N,A01N,B09B,C01B,C07D,C10L,A23K,A61P,C10G,C10B,C10J,A23L,B01F,C05F,A01K,C12R,D21C,A23D,B09C,B32B,C01G,C04B,C08B,C08J,F01K,F02C,F23G,A01C,A01D,A01G,A62D,B01L,B29C,B29D,C07B,C08G,C10C, 
Número,138,86,49,41,39,30,28,26,23,22,18,18,17,17,16,16,16,15,12,10,10,10,9,8,7,7,7,6,6,6,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,A01H,C12P,C12Q,C02F,C07K,C07H,A61K,G01N,C01B,B01J,B01D,C07C,C12M,B09C,C10J,A01K,C05F,A01N,H01M,A23K,B09B,C12R,A01G,A23J,A61P,C10G,C12S,C22B,C05G,C10L,E21B,F23G,G01J,A23L,A62D,C05B,C07D,C10B,F23C,A01C,A23D,C04B,C05D,C07B,C08L,C09D,C11B,C11D,G01C, 
Número,123,55,55,39,37,29,24,23,17,16,15,14,14,13,11,9,8,8,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C07K,C12P,A01H,A61K,G01N,C12Q,A23L,C02F,C07H,A01N,B01D,A61P,B09C,C07D,A23K,C12M,C12R,H01M,A01K,A23C,B01J,C12S,C07C,C10G,C22B,D21C,A01G,A23J,A61L,C01B,C05F,C11B,C25B,A01C,A23D,B09B,C04B,C08B,C08L,C10B,C10L,D21H,F02C,G01K,G06F,A21D,A23G,B01L,C08G, 
Número,136,60,56,44,40,27,25,24,19,18,12,12,11,11,10,8,8,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12P,A23L,C12N,A23B,A23C,C12R,A01H,C07K,A61K,C02F,C07H,C12Q,G01N,C07D,C07C,B01D,A01N,A61P,B01J,C10G,C12M,C01B,C05F,C10B,B09B,B09C,G06F,A01G,A01M,C08G,C10J,H05B,A01C,A23J,C08J,F02C,A01K,A47J,A61L,B29C,C08L,C10L,C12S,C40B,D21C,F23C,F23G,F24C,H01M,A21B, 
Número,428,366,146,79,66,48,39,36,34,31,22,22,22,19,15,14,13,10,10,10,10,9,8,7,6,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,A23L,A23B,C07K,C12P,A01H,C02F,A61K,C07H,C12Q,A01N,G01N,B01J,B01D,C07C,B09C,A21D,A23K,C12M,C12R,G06F,A01K,A01M,A61P,G01R,A61Q,B09B,C05F,C07D,C10G,C12C,C12G,C22B,D21C,A23D,B01F,C08L,C10J,C10L,C40B,D21H,F23N,G06G,A24B,A61H,A61L,A61M,A62D,B03B,B32B, 
Número,133,108,70,52,51,47,25,19,19,17,15,14,13,10,10,9,8,8,8,6,6,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A23L,C12N,C12P,C07K,A01H,A01N,A61K,C12Q,C02F,A23N,B01D,C07C,C10L,C12R,B01J,G01N,B09C,A61P,A01K,B09B,B29C,C08L,C10J,A23B,A23K,A62D,C01B,C04B,C07D,C12M,C22B,C05D,C05F,C07H,C08H,C10B,C10G,A01G,C01G,C11D,C12S,C23F,F23G,F23J,F25B,H01M,A23P,B08B,C07G,C08B, 
Número,151,106,42,36,29,23,21,20,19,12,12,11,11,11,10,10,8,7,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,A23L,C07K,C12P,A01H,A61K,C02F,C12Q,B09C,C07H,A23B,A23K,B01J,C12M,C12R,G01N,A01G,C07C,C08H,C10L,A01N,B01D,C07D,C10B,C12S,C22B,A23C,A61P,B09B,C13K,A01K,A23P,A61L,A62D,B29C,C01B,C07G,C08B,C08L,C10J,C13B,A23D,A23J,A24B,A61B,A61Q,B01F,B08B,B30B,C07B, 
Número,109,51,50,48,34,20,20,13,12,10,8,8,8,8,7,7,6,6,6,6,5,5,5,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A01H,C07K,C02F,A61K,C07C,C12Q,G01N,C12R,B01D,A01N,A23L,B09C,C07D,C12M,A23K,A61L,B08B,C10L,C11D,A61P,C07H,H01M,A62D,B01J,C08G,C10G,D06L,A01G,A23B,A23J,A23P,B09B,B29C,B60L,C01B,C10J,C12S,C13K,C22B,D06B,D06M,D06P,G06T,A01B,A01K,A21D,A23C,A24B, 
Número,73,47,32,24,16,13,13,11,11,10,9,7,7,7,7,7,5,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,C07C,C07D,C12N,A61K,C01B,G01N,C02F,B01D,C25B,C12P,C08G,C07F,B82Y,H01M,A61P,C07K,C12Q,C08F,C01G,C08J,C08L,C12R,B22F,C09K,C09D,C10G,C07B,C23C,H01L,C07H,C08K,A61L,A01N,H01G,C22C,C10L,A61B,D01F,G06F,C08B,C01F,B01F,C04B,C10B,C12M,C25D,C30B,A23L,B33Y, 
Número,727,344,304,236,208,207,181,177,157,149,146,141,127,108,102,101,84,82,73,54,47,46,45,44,36,35,34,33,33,30,28,27,26,24,24,22,20,18,17,17,16,15,14,13,13,12,12,12,11,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,C07C,C07D,A61K,C12N,C01B,C02F,G01N,B01D,C07F,C12P,B82Y,C08G,H01M,C25B,A61P,C07K,C08F,C12Q,C01G,C08L,C07B,C09K,C08J,C10G,C07H,C12R,B22F,C23C,A61L,C08K,H01G,H01L,C01F,C25D,A01N,C10B,C04B,C10L,G06F,C09D,D01F,C11C,C12M,C30B,B82B,F01N,B05D,C22B,A62D, 
Número,905,442,410,277,265,240,216,198,196,185,185,179,137,135,119,112,109,89,89,84,76,55,50,49,48,45,43,38,38,37,36,32,31,22,21,18,18,17,17,17,16,16,15,15,15,14,13,11,11,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,C07C,C07D,A61K,C12N,C02F,C12P,C01B,G01N,B01D,C07F,B82Y,C08G,C07K,H01M,C12Q,C25B,C08F,A61P,C01G,C12R,C07H,C08J,C10G,C07B,C08L,C09K,H01L,B22F,C23C,H01G,A01N,A61L,C08K,C09D,C10L,C25D,C04B,A62D,C12M,C01F,C11C,D01F,A01P,C07J,A23L,A61B,B01F,B01L,B29C, 
Número,843,386,317,283,278,231,201,194,191,162,148,133,123,114,106,87,85,82,77,68,49,47,45,45,44,42,41,38,33,32,32,28,27,26,22,21,20,18,15,15,14,14,14,13,13,12,12,11,11,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,A61K,C07C,C12N,C07D,G01N,C12P,C07F,C07K,C12Q,B01D,C01B,C08G,C02F,B82Y,A61P,C08F,H01M,C07H,C25B,C01G,C07B,C08L,C10G,A61L,H01L,A01N,C09K,C12R,B22F,C08J,H01G,C10L,A61B,B05D,C08K,B29C,C09D,C11C,C23C,C40B,A23L,A62D,C12M,C01F,C04B,F01N,A61Q,B01F,C08B, 
Número,503,313,276,263,242,168,141,135,123,112,111,110,87,82,80,68,62,62,51,45,44,43,40,40,34,33,32,28,28,25,24,22,19,16,16,16,15,15,15,14,14,10,10,10,9,9,9,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,A61K,C07C,C12N,C07D,G01N,C07F,C12P,C01B,C07K,C02F,C08F,C12Q,B82Y,B01D,C08G,A61P,C07H,H01M,C08L,C25B,C10G,A61L,C01G,A01N,C07B,B22F,C08J,C08K,C10L,C12R,C23C,H01L,C09K,C11C,H01G,B05D,C04B,C08B,C09D,A61B,G06F,A23L,C40B,D01D,A61N,A62D,C08H,B01F,B82B, 
Número,379,286,228,226,204,141,133,131,120,109,78,78,76,73,72,66,61,57,55,40,33,32,30,30,28,24,23,23,22,22,22,22,22,21,15,13,12,12,12,12,11,11,10,10,10,9,9,9,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,A61K,C07C,C12N,C07D,G01N,C01B,C07F,C12P,C07K,C12Q,A61P,B82Y,B01D,C08F,C02F,C08G,C07H,C07B,H01M,C01G,C10G,A01N,C08L,A61L,H01L,C10L,C12R,B22F,C09K,C25B,C11C,C09B,C23C,B05D,B82B,C08J,C40B,G06F,H01G,A61B,C04B,C08K,A61F,B32B,C09D,C12M,D01D,D01F,A62D, 
Número,356,271,233,186,183,142,115,112,107,102,95,83,78,66,58,48,46,42,38,38,37,34,28,26,25,24,21,21,20,20,19,17,16,16,13,13,12,12,11,10,9,9,9,8,8,8,8,8,8,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,A61K,C07C,C07D,C12N,G01N,C07F,C12P,B82Y,C01B,C12Q,A61P,C07K,B01D,C08F,C02F,H01M,C07H,C08G,H01L,C07B,C10G,C01G,A01N,C08L,C09K,A61L,C08J,C12M,C10L,B05D,C08K,C25B,C09D,C40B,B82B,C01F,G06F,C11C,C23C,B22F,C04B,H01G,B01L,B32B,A61B,C25D,C08B,C12R,H01B, 
Número,256,225,166,160,157,139,101,93,89,84,79,77,73,68,51,43,42,40,39,33,28,27,26,25,25,20,19,16,16,15,14,14,14,13,13,12,12,12,11,11,10,10,10,9,9,8,8,7,7,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,A61K,C12N,C07C,C07D,G01N,C12P,C12Q,C07K,C07F,C01B,B82Y,A61P,B01D,C08G,C07H,H01M,C01G,C08F,C02F,C07B,H01L,A01N,C08L,C10L,C09K,C12R,C23C,C10G,C11C,C08J,A61L,B22F,C04B,B32B,B05D,B82B,C08B,C08K,C12M,C25B,H01G,C40B,F01N,G06F,A01H,B01L,C09B,C09D,C22C, 
Número,255,239,174,165,140,119,109,96,91,89,84,83,75,68,55,53,47,41,41,38,36,31,24,23,20,19,19,18,17,17,16,14,14,14,13,10,10,10,9,9,9,8,7,7,7,6,6,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,A61K,C07C,C12N,C07D,C12P,A61P,G01N,C07K,C07F,C12Q,C01B,B01D,C07H,C08F,H01M,C08G,B82Y,A01N,C07B,C08L,C09K,C01G,C12R,C02F,C10G,C10L,H01L,C08J,C23C,A61L,C25B,B05D,C25D,C04B,C08K,B32B,C40B,A01H,C08C,A61B,C08B,A62D,B01F,B82B,C12M,B01L,C03C,C09C,C11C, 
Número,351,294,218,207,152,138,133,122,97,96,93,86,74,74,66,66,51,42,40,36,35,34,31,30,28,28,25,25,22,22,18,18,17,16,15,14,13,13,12,12,11,11,10,10,10,10,9,9,9,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
